mysql> select id, post_title, post_name from wp_posts order by post_name;
+-----+---------------------------------------------------------------------+------------------------------------+
| id  | post_title                                                          | post_name                          |
+-----+---------------------------------------------------------------------+------------------------------------+
| 238 | Article in The Mercury                                              | article-in-the-mercury-28th-may    |
|  96 | Diary (interactive map)                                             | map                                |
| 269 | Parting Thoughts from Chummy                                        | parting-thoughts-from-chummy       |
|  46 | Wild News Coverage                                                  | wild-news-coverage                 |
|  44 | Zululand Observer Article                                           | zululand-observer-article          |

|  58 | Hiking Day 1 - 15th Jan: In the beginning                           | hiking-day-1                       |
|  77 | Hiking Day 10 - 24th Jan: Hermanus                                  | hiking-day-10                      |
| 187 | Hiking Day 100 - 24th April: Wavecrest Resort                       | hiking-day-100                     |
| 188 | Hiking Day 101 - 25th April: Cows on the Beach                      | hiking-day-101                     |
| 189 | Hiking Day 102 - 26th April: Green Hills of the Wild Coast          | hiking-day-102                     |
| 190 | Hiking Day 103 - 27th April: Seafood Supper                         | hiking-day-103                     |
| 191 | Hiking Day 104 - 28th April: Cows on the Beach                      | hiking-day-104                     |
| 192 | Hiking Day 105 - 29th April: Hole In The Wall                       | hiking-day-105                     |
| 194 | Hiking Day 106 - 30th April: Up and Down to Coffee Bay              | hiking-day-106                     |
| 195 | Hiking Day 107 - 1st May: More hills to leave Coffee Bay            | hiking-day-107                     |
| 196 | Hiking Day 108 - 2nd May: Mnenu in the Rain                         | hiking-day-108                     |
| 197 | Hiking Day 109 - 3rd May: More rain on the Wild Coast               | hiking-day-109                     |
|  79 | Hiking Day 11 - 25th Jan: Off to die Kelders                        | hiking-day-11                      |
| 199 | Hiking Day 110 - 4th May: Rest day at Mpande                        | hiking-day-110                     |
| 200 | Hiking Day 111 - 5th May: Sharks in the River?                      | hiking-day-111                     |
| 201 | Hiking Day 112 - 6th May: Rest time in Umngazi                      | hiking-day-112                     |
| 202 | Hiking Day 113 - 7th May: Port St Johns                             | hiking-day-113                     |
| 204 | Hiking Day 114 - 8th May: Leaving Port St Johns                     | hiking-day-114                     |
| 205 | Hiking Day 115 - 9th May: Titanium Beach to Mbotyi                  | hiking-day-115                     |
| 206 | Hiking Day 116 - 10th May: Wave Power at Luphutana                  | hiking-day-116                     |
| 207 | Hiking Day 117 - 11th May: Swamps on the Wild Coast                 | hiking-day-117                     |
| 208 | Hiking Day 118 - 12th May: Crayfish for Supper!                     | hiking-day-118                     |
| 209 | Hiking Day 119 - 13th May: More North Easters                       | hiking-day-119                     |
|  87 | Hiking Day 12 - 26th Jan: Longest day to Klein Baai                 | hiking-day-12                      |
| 210 | Hiking Day 120 - 14th May: Arriving at Port Edward                  | hiking-day-120                     |
| 211 | Hiking Day 121 - 15th May: Rest Day at Port Edward                  | hiking-day-121                     |
| 212 | Hiking Day 122 - 16th May: Free icecreams!                          | hiking-day-122                     |
| 213 | Hiking Day 123 - 17th May: Tumbling to Uvongo                       | hiking-day-123                     |
| 214 | Hiking Day 124 - 18th May: Passing Port Shepstone                   | hiking-day-124                     |
| 215 | Hiking Day 125 - 19th May: More Soft Sand                           | hiking-day-125                     |
| 216 | Hiking Day 126 - 20th May: Ifafa Beach                              | hiking-day-126                     |
| 217 | Hiking Day 127 - 21st May: Tough wind to Kelso                      | hiking-day-127                     |
| 218 | Hiking Day 128 - 22nd May: Reached Scottburgh                       | hiking-day-128                     |
| 219 | Hiking Day 129 - 23rd May: Rest at Scottburgh                       | hiking-day-129                     |
|  88 | Hiking Day 13 - 27th Jan: Low tide to Uilkraalsmond                 | hiking-day-13                      |
| 220 | Hiking Day 130 - 24th May: Fish River Canyon Training Squad         | hiking-day-130                     |
| 221 | Hiking Day 131 - 25th May: Back onto hard sand at last!             | hiking-day-131                     |
| 222 | Hiking Day 132 - 26th May: Leaving Amanzimtoti                      | hiking-day-132                     |
| 223 | Hiking Day 133 - 27th May: Navy Boats!                              | hiking-day-133                     |
| 227 | Hiking Day 134 - 28th May: Rest dat at Phakamisa                    | hiking-day-134                     |
| 228 | Hiking Day 135 - 29th May: Speaking at Pinetown Venues              | hiking-day-135                     |
| 231 | Hiking Day 136 - 30th May: Visiting Pinetown                        | hiking-day-136                     |
| 232 | Hiking Day 137 - 31st May: Visiting Pinetown Methodist              | hiking-day-137                     |
| 233 | Hiking Day 138 - 1st June: Supporters to Umhlanga                   | hiking-day-138                     |
| 234 | Hiking Day 139 - 2nd June: 2000km's Reached!                        | hiking-day-139                     |
|  91 | Hiking Day 14 - 28th Jan: Missing campsite                          | hiking-day-14                      |
| 235 | Hiking Day 140 - 3rd June: Soft soft sand to Sheffield              | hiking-day-140                     |
| 237 | Hiking Day 141 - 4th June: Crocodile Rivers                         | hiking-day-141                     |
| 239 | Hiking Day 142 - 5th June: Zinkwazi River                           | hiking-day-142                     |
| 240 | Hiking Day 143 - 6th June: Beautiful beach to Tugela                | hiking-day-143                     |
| 241 | Hiking Day 144 - 7th June: Rest day at the Tugela Mouth             | hiking-day-144                     |
| 242 | Hiking Day 145 - 8th June: Rainy day with Tugela Crossing           | hiking-day-145                     |
| 243 | Hiking Day 146 - 9th June: Twin Streams                             | hiking-day-146                     |
| 244 | Hiking Day 147 - 10th June: Short Easy Walk to Mtunzini             | hiking-day-147                     |
| 245 | Hiking Day 148 - 11th June: NSRI Boats!                             | hiking-day-148                     |
| 246 | Hiking Day 149 - 12th June: Rest in Richard's Bay                   | hiking-day-149                     |
|  92 | Hiking Day 15 - 29th Jan: Rest at Die Dam                           | hiking-day-15                      |
| 247 | Hiking Day 150 - 13th June: More rest at Richard's Bay              | hiking-day-150                     |
| 248 | Hiking Day 151 - 14th June: Even MORE Rest                          | hiking-day-151                     |
| 249 | Hiking Day 152 - 15th June: Back to Hiking Tomorrow                 | hiking-day-152                     |
